word;english;spanish;portuguese;french;chinese;pinyin;cantonese;jyutping;hindi;arabic;russian;bengali;japanese
five;five;cinco;cinco;cinq;五;wǔ;五;ng;पंज;خمسة;пять;পাঁচ;五
flag;flag;bandera;bandeira;drapeau;旗帜;qízhì;旗帜;kèicî;झंडा;علم;флаг;পতাকা;国旗
flat;flat;plano;plano;plat;平坦;píngtǎn;平坦;pìngtáan;समतल;عريضة;плоский;সমান;平らな
floor;floor;suelo;piso;sol;地面;dìmiàn;地面;deimin;मंज़िल;أرضية;пол;মেঝে;床
flower;flower;flor;flor;fleur;花;huā;花;fāa;फूल;زهرة;цветок;ফুল;花
fly;fly;mosca;mosca;mouche;飞;fēi;飞;fēi;उड़ना;يطير;летать;মাছি;飛ぶ
follow;follow;seguir;seguir;suivre;跟随;gēnsuí;跟随;gāncèoi;अनुसरण करने के लिए;يتبع;следовать;অনুসরণ করা;フォローする
food;food;comida;comida;aliments;食物;shíwù;食物;sikmat;खाना;غذاء;еда;খাদ্য;食物
foot;foot;pie;pé;pied;脚;jiǎo;脚;gôek;पैर;قدم;оплачивать;পা;足
forest;forest;bosque;floresta;forêt;森林;sēnlín;森林;sāmlàm;जंगल;غابة;лес;বন। জংগল;森林
fork;fork;tenedor;garfo;fourchette;叉;chā;叉;cāa;कांटा;شوكة;вилка;কাঁটাচামচ;フォーク
forty;forty;cuarenta;quarenta;quarante;四十;sìshí;四十;sêisap;चालीस;أربعين;сорок;চল্লিশ;四十
four;four;cuatro;quatro;quatre;四;sì;四;sêi;चार;أربعة;четыре;চার;四
fourteen;fourteen;catorce;quatorze;quatorze;十四;shísì;十四;sapsêi;चौदह;أربعة عشرة;четы́рнадцать;চতুর্দশ;十四
fourth;fourth;cuarto;quarto;quatrième;卧室;wòshì;卧室;ngosāt;शयनकक्ष;غرفة نوم;спальня;শয়নকক্ষ;ベッドルーム
frame;frame;marco;quadro;cadre;框架;kuàngjià;框架;kwāanggáa;ढांचा;الإطار;Рамка;ফ্রেম;フレーム
free;free;libre;livre;libre;自由;zìyóu;自由;zijàu;नि: शुल्क;مجانا;свободный;বিনামূল্যে;自由
Friday;Friday;viernes;sexta-feira;vendredi;星期五;xīngqīwǔ;星期五;sīngkèing;शुक्रवार;يوم الجمعة;пятница;শুক্রবার;金曜日
friend;friend;amigo;amigo;ami;朋友;péngyou;朋友;pàngjǎu;मित्र;صديق;друг;বন্ধু;友人
front;front;frente;frente;devant;正面;zhèngmiàn;正面;zîngmin;सामने;أمامي;передний;সদর;フロント
funny;funny;divertido;engraçado;drôle;有趣;yǒuqù;有趣;jǎucêoi;मजेदार;مضحك;забавный;হাস্যকর;おもしろいです
game;game;juego;jogo;jeu;游戏;yóuxì;游戏;jàuhêi;खेल;لعبه;игра;খেলা;ゲーム
garden;garden;jardín;jardim;jardin;花园;huāyuán;花园;fāajyùn;बगीचा;حديقة;сад;বাগান;庭園
gasoline;gasoline;gasolina;gasolina;essence;汽油;qìyóu;汽油;hêijàu;पेट्रोल;الغازولين;бензин;পেট্রল;ガソリン
gift;gift;regalo;presente;cadeau;礼物;lǐwù;礼物;lǎimat;उपहार;هدية;подарок;উপহার;贈り物
girl;girl;chica;garota;fille;女孩;nǚhái;女孩;něoihàai;लड़की;فتاة;девочка;মেয়ে;女の子
give;give;dar;dar;donner;给;gěi;给;kāp;देना;يعطى;дайте;দিতে;与える
glass;glass;vaso;copo;verre;玻璃;bōli;玻璃;bōlēi;कांच;زجاج;стекло;কাচ;ガラス
glove;glove;guante;luva;gant;手套;shǒutào;手套;sáutôu;दस्ताना;قفاز;перчатка;দস্তানা;グローブ
go;go;ir;ir;aller;离开;líkāi;离开;lèihōi;चल देना;توجو;идти;যাও;トーゴ
goat;goat;cabra;cabra;chèvre;山羊;shānyáng;山羊;sāanjòeng;बकरा;معزة;козел;ছাগল;山羊
God;God;dios;deus;dieu;上帝;shàngdì;上帝;soengdâi;परमेश्वर;إله;бог;সৃষ্টিকর্তা;神
gold;gold;oro;ouro;or;金子;jīnzi;金子;gāmzí;सोना;ذهب;золото;স্বর্ণ;ゴールド
good;good;bueno;bom;bon;好;hào;好;hôu;अच्छा न;جيد;хороший;ভাল;良い
government;government;gobierno;governo;gouvernement;政府;zhèngfǔ;政府;zîngfú;सरकार;حكومة;правительство;সরকার;政府
grandfather;grandfather;abuelo;avô;grand-père;爷爷;yéye;爷爷;jèjé;दादा;جد;дедушка;পিতামহ;祖父
grandmother;grandmother;abuela;avó;grand-mère;祖母;zǔmǔ;祖母;zóumǒu;दादी मा;جدة;бабушка;নানী;祖母
grass;grass;césped;grama;gazon;草;cǎo;草;cóu;घास;عشب;трава;ঘাস;草
gray;gray;gris;cinza;grise;灰色;huīsè;灰色;fūisīk;धूसर;رمادي;серый;ধূসর;グレー
green;green;verde;verde;vert;绿色;lǜsè;绿色;luksīk;हरा;أخضر;зеленый;সবুজ;緑
ground;ground;suelo;solo;sol;地面;dìmiàn;地面;deimin;भूमि;أرض;земля;স্থল;接地
grow;grow;crecer;crescer;grandir;生长;shēngzhǎng;生长;sāngzóeng;बढ़ना;تنمو;расти;হত্তয়া;育ちます
gun;gun;pistola;arma;arme à feu;枪;qiāng;枪;cōeng;बंदूक;بندقية;пистолет;বন্দুক;銃
hair;hair;cabello;cabelo;cheveux;头发;tóufa;头发;tàufâat;बाल;شعر;волосы;চুল;ヘア
half;half;medio;metade;demi;半;bàn;半;bûn;आधा;نصف;половина;অর্ধেক;ハーフ
hammer;hammer;martillo;martelo;marteau;锤子;chuízi;锤子;cèoizí;हथौड़ा;شاكوش;молоток;হাতুড়ি;ハンマー
hand;hand;mano;mão;main;手;shǒu;手;sáu;हाथ;يسلم;рука;হাত;手
hang;hang;colgar;pendurar;accrocher;悬挂;xuánguà;悬挂;jyùngwâa;लटकना;يُعَلِّق;вешать;ফাঁসি দেত্তয়া;ハング
happy;happy;feliz;feliz;heureux;快乐;kuàilè;快乐;fâailok;शुभ स;السعيدة;счастливый;সুখী;ハッピー
hard;hard;duro;duro;dur;坚硬;jiānyìng;坚硬;gīnngaang;कठिन;الصعب;жесткий;কঠিন;ハード
hat;hat;sombrero;chapéu;chapeau;帽子;màozi;帽子;mouzí;टोपी;قبعة;шляпа;টুপি;帽子
he;he;él;ele;il;他;tā;他;tāa;उसने;هو;он;তিনি;彼
head;head;cabeza;cabeça;tête;头;tóu;头;tàu;सिर;رأس;голова;মাথা;頭
healthy;healthy;saludable;saudável;sain;健康;jiànkāng;健康;ginhōng;स्वस्थ;صحي;здоровый;সুস্থ;元気
hear;hear;oír;ouvir;écouter;听到;tīngdào;听到;tēngdôu;सुनो;يسمع;слышать;শোনা;聞く
heart;heart;corazón;coração;cœur;心;xīn;心;sām;दिल;قلب;сердце;হৃদয়;ハート
heat;heat;calor;calor;chaleur;热;rè;热;jit;तपिश;الحرارة;высокая температура;তাপ;熱
heaven;heaven;paraíso;paraíso;paradis;天堂;tiāntáng;天堂;tīntòng;स्वर्ग;جنة;рай;নন্দনকানন;パラダイス
heavy;heavy;pesado;pesado;lourd;重;chóng;重;cùng;हैवी;ثقيل;тяжелый;ভারী;ヘビー
hell;hell;infierno;inferno;enfer;地狱;dìyù;地狱;deijuk;नरक;الجحيم;ад;জাহান্নাম;地獄
here;here;aquí;aqui;ici;这里;zhèlǐ;这里;zélěoi;यहां;هنا;здесь;এখানে;ここに
high;high;alto;alto;haut;高;gāo;高;gōu;उच्च;متوسط;высоко;উচ্চ;高い
hill;hill;colina;colina;colline;NA;NA;NA;NA;पहाड़ी;تل;холм;পাহাড়;丘
history;history;historia;história;histoire;历史;lìshǐ;历史;liksí;इतिहास;التاريخ;история;ইতিহাস;歴史
hole;hole;agujero;buraco;trou;孔;kǒng;孔;húng;छेद;الفجوة;дыра;গর্ত;穴
hook;hook;gancho;gancho;crochet;钩;gōu;钩;ngāu;अंकुड़ा;خطّاف;крюк;হুক;針
horn;horn;cuerno;chifre;corne;喇叭;lǎbā;喇叭;lâabāa;सींग;بوق;Рог;শিঙা;ホーン
horse;horse;caballo;cavalo;cheval;马;mǎ;马;mǎa;घोड़ा;حصان;лошадь;ঘোড়া;うま
hospital;hospital;hospital;hospital;hôpital;医院;yīyuàn;医院;jījyún;अस्पताल;مستشفى;больница;হাসপাতাল;病院
hot;hot;caliente;quente;chaud;热;rè;热;jit;गरम;الحار;горячей;গরম;ホット
hotel;hotel;hotel;hotel;hôtel;酒店;jiǔdiàn;酒店;záudîm;होटल;الفندق;гостиница;হোটেল;ホテル
hour;hour;hora;hora;heure;小时;xiǎoshí;小时;síusì;इस घंटे;ساعة;час;ঘন্টা;時間
house;house;casa;casa;maison;房子;fángzi;房子;fòngzí;मकान;بيت;жилой дом;গৃহ;家
human;human;humano;humano;humain;人类;rénlèi;人类;jànleoi;मानव;بشري;человек;মানবীয়;人間
hundred;hundred;cien;cem;cent;百;bǎi;百;bâak;सौ;مائة;сто;শত;百
husband;husband;marido;esposo;mari;丈夫;zhàngfu;丈夫;zoengfū;पति;الزوج;муж;স্বামী;夫
I;I;yo;eu;je;我;wǒ;我;ngǒ;मैं;أنا;я;আমি;私
ice;ice;hielo;gelo;glace;冰;bīng;冰;bīng;बर्फ;جليد;лед;বরফ;氷
idea;idea;idea;ideia;idée;主意;zhǔyi;主意;zyújî;विचार;فكرة;идея;ধারণা;考え
image;image;imagen;imagem;image;图像;túxiàng;图像;tòuzoeng;छवि;صورة;изображение;চিত্র;画像
inch;inch;pulgada;polegada;pouce;英寸;yīngcùn;英寸;jīngcyûn;इंच;بوصة;дюйм;ইঞ্চি;インチ
injury;injury;lesión;ferimentos;blessure;受伤;shòushāng;受伤;sausōeng;चोट;إصابة;поврежде́ние;আঘাত;けが
inside;inside;dentro;dentro de;intérieur;里面;lǐmiàn;里面;lěoimin;के भीतर;داخل;внутри;ভিতরে;屋内に
instrument;instrument;instrumento;instrumento;instrument;仪器;yíqì;仪器;jìhêi;यंत्र;أداة;инструмент;যন্ত্র;器械
island;island;isla;ilha;île;岛;dǎo;岛;dóu;द्वीप;جزيرة;остров;দ্বীপ;島
it;it;eso;isso;il;它;tā;它;tāa;यह;NA;он;এটা;それ
January;January;enero;janeiro;janvier;一月;yīyuè;一月;jātjyut;जनवरी;يناير;январь;জানুয়ারী;1月
jewel;jewel;joya;jóia;bijou;宝;bǎo;宝;bóu;गहना;جوهرة;драгоценный камень;মণি;宝石
job;job;trabajo;trabalho;travail;工作;gōngzuò;工作;gūngzôk;काम;وظيفة;работа;কাজ;ジョブ
juice;juice;jugo;sumo;jus;果汁;guǒzhī;果汁;gwózāp;रस;عصير;сок;রস;ジュース
July;July;julio;julho;juillet;七月;qīyuè;七月;cātjyut;जुलाई;تموز;июль;জুলাই;七月
jump;jump;saltar;pular;sauter;跳;tiào;跳;tîu;कूदना;يقفز;прыгать;লাফ দিতে;ジャンプする
June;June;junio;junho;juin;六月;liùyuè;六月;lukjyut;जून;يونيو;июнь;জুন;六月
kettle;kettle;hervidor;chaleira;bouilloire;水壶;shuǐhú;水壶;séoiwú;केतली;غلاية;чайник;কেতলি;ケトル
key;key;llave;chave;clé;钥匙;yàoshi;钥匙;joeksì;चाभी;مفتاح;ключ;মূল;キー
kill;kill;matar;matar;tuer;杀;shā;杀;sâat;मार;قتل;убийство;হত্যা;殺します
kilogram;kilogram;kilogramo;quilograma;kilogramme;公斤;gōngjīn;公斤;gūnggān;किलोग्राम;كيلوغرام;килограмм;কিলোগ্রাম;キログラム
king;king;rey;rei;roi;国王;guówáng;国王;gwôkwòng;राजा;ملك;король;রাজা;キング
kiss;kiss;beso;beijo;embrasser;吻;wěn;吻;mǎn;चुम्मा;قبلة;целовать;চুম্বন;接吻
kitchen;kitchen;cocina;cozinha;cuisine;厨房;chúfáng;厨房;cyùfóng;रसोई;مطبخ;кухня;রান্নাঘর;キッチン
knee;knee;rodilla;joelho;genou;膝盖;xīgài;膝盖;sātgôi;घुटना;ركبة;колено;হাঁটু;膝
knife;knife;cuchillo;faca;couteau;刀;dāo;刀;dōu;चाकू;سكين;нож;ছুরি;ナイフ
knot;knot;nudo;nó;nouer;NA;na;NA;NA;NA;عُقْدة;NA;NA;NA
lake;lake;lago;lago;lac;湖;hú;湖;wù;झील;بحيرة;озеро;হ্রদ;湖
lamp;lamp;lámpara;luminária;lampe;灯;dēng;灯;dāng;दीपक;مصباح;ла́мпа;বাতি;ランプ
language;language;idioma;idioma;langue;语言;yǔyán;语言;jyǔjìn;भाषा: हिन्दी;لغة;язык;ভাষা;言語
laptop;laptop;laptop;laptop;portable;笔记本电脑;bǐjìběndiànnǎo;笔记本电脑;bātgêibúndinnǒu;लैपटॉप;كمبيوتر محمول;ноутбук;ল্যাপটপ;ノートパソコン
last;last;último;último;dernier;最后;zuìhòu;最后;zêoihau;पिछले;أخير;последний;শেষ;最後の
laugh;laugh;reír;rir;rire;笑;xiào;笑;sîu;हंसना;يَضْحَك;смеяться;হাসি থেকে;笑う
lawyer;lawyer;abogado;advogado;avocat;律师;lǜshī;律师;leotsī;प्रतिनिधि;محامي;адвокат;অ্যাটর্নি;代理人
leaf;leaf;hoja;folha;feuille;叶子;yèzi;叶子;jipzí;लीफ;ورقة الشجر;лист;গাছের পাতা;葉
learn;learn;aprender;aprender;apprendre;学习;xuéxí;学习;hokzaap;सीखना;يتعلم;учиться;শেখা;学びます
left;left;izquierda;esquerda;gauche;剩下;shèngxià;剩下;zinghaa;बाएं;اليسار;оставили;বাম;左
leg;leg;pierna;perna;jambe;腿;tuǐ;腿;téoi;टांग;ساق;нога;পা;脚
lemon;lemon;limón;limão;citron;柠檬;níngméng;柠檬;nìngmūng;नींबू;ليمون;лимон;লেবু;レモン
letter;letter;carta;carta;lettre;信;xìn;信;sêon;पत्र;رسالة;письмо;চিঠি;文字
library;library;biblioteca;biblioteca;bibliothèque;图书馆;túshūguǎn;图书馆;tòusyūgún;पुस्तकालय;مكتبة;библиотека;গ্রন্থাগার;図書館
lie down;lie down;acostar;deitar;s'allonger;躺下;tǎng xià;躺下;tóng haa;नीचे लिटाना;يستلقي;лечь;শোয়া;横になります
lift;lift;levantar;levantar;soulever;举起;jǔqǐ;举起;géoihéi;उठा देना;لرفع;поднимать;উত্তোলন করতে;リフトへ
light (brightness);light;claro;claro;clair;清除;qīngchú;清除;cīngcèoi;स्पष्ट;ضوء;чисто;স্পষ্ট;晴れ
light (noun);light;luz;luz;lumière;光;guāng;光;gwōng;रोशनी;إضاءة;свет;আলো;光
light (weight);light;ligero;leve;léger;光;guāng;光;gwōng;रोशनी;خفيف;свет;আলো;光
line;line;línea;linha;ligne;线;xiàn;线;sîn;लाइन;خط;линия;লাইন;ライン
lip;lip;labio;lábio;lèvre;唇;chún;唇;sèon;ओंठ;شفة;губа;ঠোঁট;リップ
listen;listen;escuchar;ouvir;écouter;听;tīng;听;tîng;बात सुनो;استمع;слушать;শোনা;聴く
location;location;ubicación;localização;lieu;地点;dìdiǎn;地点;deidím;स्थान;موقع;местонахождение;অবস্থান;ロケーション
lock;lock;candado;cadeado;cadenas;挂锁;guàsuǒ;挂锁;gwâasó;ताला;قفل;замок;কুলুপ;南京錠
long;long;largo;longo;long;长;cháng;长;còeng;लंबा;طويل;длинный;দীর্ঘ;長いです
loose;loose;suelto;solto;ample;松;sōng;松;sūng;ढीला;مرتخي;свободный;আলগা;緩いです
lose;lose;perder;perder;perdre;失去;shīqù;失去;sāthêoi;खोने के लिए;يخسر;терять;হারান;失う
lost;lost;perdido;perdido;perdu;丢失;diūshī;丢失;dīusāt;खोया हुआ;ضائع;потерял;নিখোঁজ;失われました
loud;loud;ruidoso;alto;bruyant;响;xiǎng;响;hóeng;जोर;صاخب;громко;অট্ট;うるさいです
love;love;amar;amar;aimer;爱;ài;爱;ôi;प्यार करने के लिए;يحب;любить;ভালবাসতে;愛する
low;low;bajo;baixo;bas;低;dī;低;dāi;कम;قليل;низкий;কম;低いです
lucky;lucky;suertudo;afortunado;chanceux;幸运;xìngyùn;幸运;hangwan;मुक़द्दर का सिकंदर;محظوظ;счастливчик;ভাগ্যবান;幸運な
lunch;lunch;almuerzo;almoço;déjeuner;午餐;wǔcān;午餐;ngcāan;दोपहर का भोजन;غداء;обед;মধ্যাহ্নভোজ;ランチ
magazine;magazine;revista;revista;magazine;杂志;zázhì;杂志;zaapzî;पत्रिका;مجلة;журнал;পত্রিকা;マガジン
male;male;masculino;masculino;masculin;男性;nánxìng;男性;nàamsîng;पुरुष;الذكر;мужчина;পুরুষ;男性
man;man;hombre;homen;homme;男人;nánrén;男人;nàamjàn;पु रूप;رجل;человек;মানুষ;おとこ
manager;manager;gerente;gerente;directeur;经理;jīnglǐ;经理;gīnglěi;मैनेजर;إدارة;руководитель;ব্যবস্থাপক;マネージャー
map;map;mapa;mapa;carte;地图;dìtú;地图;deitòu;नक्शा;خريطة;карта;মানচিত্র;地図
March;March;marzo;março;mars;三月;sānyuè;三月;sāamjyut;जुलूस;مارس;марш;মার্চ;行進
market;market;mercado;mercado;marché;市场;shìchǎng;市场;sǐcòeng;मंडी;سوق;рынок;বাজার;市場
marriage;marriage;matrimonio;casado;mariage;婚姻;hūnyīn;婚姻;fānjān;शादी;زواج;брак;বিবাহ;結婚
marry;marry;casar;casar;marier;结婚;jiéhūn;结婚;#ERROR!;शादी कर;تزوج;выйти замуж;বিবাহ করা;結婚します
match;match;fósforo;fósforo;allumette;NA;na;NA;NA;NA;عود ثِقاب;NA;NA;NA
material;material;material;material;matériel;材料;cáiliào;材料;còilíu;सामग्री;مواد;материал;উপাদান;材料
May;May;mayo;maio;peut;可能;kěnéng;可能;hónàng;मई;يمكن;май;মে;五月
mean;mean;significar;significar;signifier;意味着;yìwèizhe;意味着;jîmeizoek;का मतलब;يعني;значить;মানে;意味する
medicine;medicine;medicina;medicamento;médicament;药物;yàowù;药物;joekmat;दवा;دواء;лекарство;ওষুধ;薬
melt;melt;derretir;fundição;fondre;熔化;rónghuà;熔化;jùngfâa;पिघल;يَذوب;таять;দ্রবীভূত করা;メルト
message;message;mensaje;mensagem;message;信息;xìnxī;信息;sêonsīk;संदेश;رسالة;сообщение;বার্তা;メッセージ
metal;metal;metal;metal;métal;金属;jīnshǔ;金属;gāmsuk;धातु;فلز;металл;ধাতু;金属
meter;meter;metro;metro;mètre;仪表;yíbiǎo;仪表;jìbíu;मीटर;متر;метр;মিটার;メートル
milk;milk;leche;leite;lait;牛奶;niúnǎi;牛奶;ngàunǎai;दूध;حليب;молоко;দুধ;ミルク
million;million;millón;milhão;million;百万;bǎiwàn;百万;bâakmaan;दस लाख;مليون;миллиона;মিলিয়ন;百万
minute;minute;minuto;minuto;minute;分钟;fēnzhōng;分钟;fānzūng;मिनट;دقيقة;минут;মিনিট;分
mix;mix;mezclar;misturar;mélanger;混合;hùnhé;混合;wanhap;मिक्स;مزج;смешивание;মিশ্রণ;ミックス
Monday;Monday;lunes;segunda-feira;lundi;周一;zhōuyī;周一;zāujāt;सोमवार;الاثنين;понедельник;সোমবার;月曜
money;money;dinero;dinheiro;argent;钱;qián;钱;cín;पैसे;مال;деньги;টাকা;お金
monkey;monkey;mono;macaco;singe;NA;na;NA;NA;NA;قِرْد;NA;NA;NA
month;month;mes;mês;mois;月;yuè;月;jyut;महीना;شهر;месяц;মাস;月
moon;moon;luna;lua;lune;月亮;yuèliang;月亮;jyutloeng;चांद;القمر;луна;চাঁদ;月
morning;morning;mañana;manhã;matin;早晨;zǎochén;早晨;zóusàn;सुबह;صباح;утро;সকাল;朝
mother;mother;madre;mãe;mère;母亲;mǔqīn;母亲;mǒucān;मां;أم;мать;মা;母
mountain;mountain;montaña;montanha;montagne;山;shān;山;sāan;पहाड़;جبل;гора;পর্বত;山
mouse;mouse;ratón;rato;souris;老鼠;lǎoshǔ;老鼠;lǒusyú;चूहा;الفأر;мышь;মাউস;マウス
mouth;mouth;boca;boca;bouche;嘴;zuǐ;嘴;zéoi;मुंह;فم;рот;মুখ;口
movie;movie;película;filme;film;电影;diànyǐng;电影;dinjíng;चलचित्र;فيلم;фильм;সিনেমা;映画
murder;murder;asesinato;assassinato;meurtre;谋杀;móushā;谋杀;màusâat;हत्या;قتل;убийство;হত্যা;殺人
muscle;muscle;músculo;músculo;muscle;肌肉;jīròu;肌肉;gēijuk;मांसपेशी;عضلة;мускул;পেশী;筋
music;music;música;música;musique;音乐;yīnyuè;音乐;jāmngok;संगीत;موسيقى;музыка;সঙ্গীত;音楽
nail;nail;clavo;prego;clou;指甲;zhǐjia;指甲;zígâap;नाखून;مسمار;гвоздь;পেরেক;爪
narrow;narrow;estrecho;estreito;étroit;窄;zhǎi;窄;zâak;संकीर्ण;ضيق;узкий;সংকীর্ণ;狭い
nature;nature;naturaleza;natureza;nature;自然;zìrán;自然;zijìn;प्रकृति;الطبيعة;природа;প্রকৃতি;自然
near;near;cerca;perto;proche;靠近;kàojìn;靠近;kâaugan;पास में;قرب;близко;কাছে;近くに
neck;neck;cuello;pescoço;cou;脖子;bózi;脖子;butzí;गरदन;رقبة;шея;ঘাড়;首
needle;needle;aguja;agulha;aiguille;针;zhēn;针;zām;सुई;إبرة;иголка;সুই;針
neighbor;neighbor;vecino;vizinho;voisin;邻居;línjū;邻居;lèongēoi;पड़ोसी;جار;сосед;প্রতিবেশী;隣人
nerve;nerve;nervio;nervo;nerf;神经;shénjīng;神经;sàngīng;नस;عصب;нерв;স্নায়ু;神経
net;net;red;rede;filet;NA;na;NA;NA;NA;شَبَكة;сеть;NA;NA
network;network;red;rede;réseau;网络;wǎngluò;网络;mǒnglok;नेटवर्क;شَبَكة;сеть;অন্তর্জাল;通信網
new;new;nuevo;novo;nouveau;新;xīn;新;sān;नवीन व;الجديد;новый;নতুন;新着
newspaper;newspaper;periódico;jornal;journal;报纸;bàozhǐ;报纸;bôuzí;समाचार पत्र;جريدة;газета;সংবাদপত্র;新聞
night;night;noche;noite;nuit;夜晚;yèwǎn;夜晚;jemǎan;रात;ليل;ночь;রাত;夜
nine;nine;nueve;nove;neuf;九;jiǔ;九;gáu;नौ;تسع;девять;নয়;九つ
nineteen;nineteen;diecinueve;dezenove;dix-neuf;十九;shíjiǔ;十九;sapgáu;उन्नीस;تسعة عشر;девятна́дцать;উনিশ;十九
ninety;ninety;noventa;noventa;quatre-vingt-dix;九十;jiǔshí;九十;gáusap;नव्वे;تسعين;девяносто;নব্বুই;90
no;no;no;não;non;NA;na;NA;NA;नहीं न;لا;нет;না;番号
north;north;norte;norte;nord;北;běi;北;bāk;उत्तरी;شمال;север;উত্তর;北
nose;nose;nariz;nariz;nez;鼻子;bízi;鼻子;beizí;नाक;الأنف;нос;নাক;鼻
note;note;nota;nota;note;笔记;bǐjì;笔记;bātgêi;ध्यान दें;ملاحظة;примечание;বিঃদ্রঃ;注意
November;November;noviembre;novembro;novembre;十一月;shíyīyuè;十一月;sapjātjyut;नवंबर;نوفمبر;ноябрь;নভেম্বর;十一月
nuclear;nuclear;nuclear;nuclear;nucléaire;核;hé;核;wat;नाभिकीय;نووي;ядерной;পারমাণবিক;核の
number;number;número;número;numéro;数字;shùzì;数字;sôuzi;संख्या;عدد;номер;সংখ্যা;数
nut;nut;nuez;noz;noix;NA;na;NA;NA;अखरोट;مِكَسَّرات;NA;NA;NA
ocean;ocean;océano;oceano;océan;海洋;hǎiyáng;海洋;hóijòeng;सागर;محيط;океан;মহাসাগর;海洋
October;October;octubre;outubro;octobre;十月;shíyuè;十月;sapjyut;अक्टूबर;أكتوبر;октября;অক্টোবর;10月
office;office;oficina;escritório;bureau;办公室;bàngōngshì;办公室;baangūngsāt;कार्यालय;مكتب;офис;দপ্তর;オフィス
oil;oil;aceite;óleo;pétrole;油;yóu;油;jàu;तेल;نفط;масло;তেল;油
old (people);old;viejo;velho;vieux;老;lǎo;老;lǒu;पुराना;عجوز;пожилой;পুরাতন;年取った
old (things);old;viejo;velho;vieux;旧;jiù;旧;gau;पुराना;قديم;старый;পুরাতন;古い
one;one;uno;um;un;一;yī;一;jāt;एक;واحد;один;এক;1
open;open;abrir;abrir;ouvrir;打开;dǎkāi;打开;dáahōi;खुला हुआ;لفتح;открыть;খোলা;開いた
orange (color);orange;naranja;laranja;orange;橘子;júzi;橘子;gwātzí;संतरा;البرتقالي;апельсин;কমলা;オレンジ
orange (fruit);orange;naranja;laranja;orange;橘子;júzi;橘子;gwātzí;संतरा;البرتقالي;апельсин;কমলা;オレンジ
outside;outside;afuera;fora;extérieur;外面;wàimiàn;外面;ngoimin;बाहर;الخارج;за пределами;বাহিরে;外側
oven;oven;horno;forno;four;NA;na;NA;NA;NA;فرن;NA;NA;NA
page;page;página;página;page;页;yè;页;jip;पृष्ठ;صفحة;страница;পৃষ্ঠা;ページ
pain;pain;dolor;dor;douleur;痛;tòng;痛;tûng;दर्द;الم;боль;ব্যথা;痛み
paint;paint;pintar;pintar;peinturer;画;huà;画;waak;रंग;رسم;краска;রং;ペイント
pants;pants;pantalones;calça;pantalon;裤子;kùzi;裤子;fûzí;पैंट;بنطال;брюки;প্যান্ট;パンツ
paper;paper;papel;papel;papier;纸;zhǐ;纸;zí;कागज़;ورق;бумага;কাগজ;論文
parent;parent;padre;pai;parent;爸爸;bàba;爸爸;bāabāa;पिता;بابا;папа;বাবা;パパ
park;park;parque;parque;parc;公园;gōngyuán;公园;gūngjyún;पार्क;حديقة;парк;পার্ক;パーク
pass;pass;pasar;passar;passer;通过;tōngguò;通过;tūnggwô;पारित करने के लिए;يمر;пройти;অতিক্রম করতে;合格する
patient;patient;paciente;paciente;patient;病人;bìngrén;病人;bengjàn;मरीज़;مريض;пациент;রোগী;患者
pattern;pattern;patrón;padrão;motif;图案;túàn;图案;tòuôn;प्रतिरूप;نمط;шаблон;প্যাটার্ন;パターン
pay;pay;pagar;pagar;payer;支付;zhīfù;支付;zīfu;भुगतान करने के लिए;يدفع;платить;পরিশোধ করতে;支払う
peace;peace;paz;paz;paix;和平;hépíng;和平;wòpìng;शांति;سلام;мир;শান্তি;平和
pen;pen;bolígrafo;caneta;stylo;笔;bǐ;笔;bāt;कलम;قلم;ручка;কলম;ペン
pencil;pencil;lápiz;lápis;crayon;铅笔;qiānbǐ;铅笔;jyùnbāt;पेंसिल;قلم;карандаш;পেন্সিল;鉛筆
person;person;persona;pessoa;personne;人;rén;人;jàn;व्यक्ति;شخص;человек;ব্যক্তি;人
photograph;photograph;fotografía;fotografia;photographie;摄影;shèyǐng;摄影;sîpjíng;फोटोग्राफी;التصوير;фотография;ফটোগ্রাফি;写真術
picture;picture;cuadro;desenho;dessin;NA;na;NA;NA;NA;صورة;NA;NA;NA
piece;piece;pieza;peça;pièce;块;kuài;块;fâai;टुकड़ा;قطعة;кусок;টুকরা;一片
pig;pig;cerdo;porco;porc;猪;zhū;猪;zyū;सूअर;خنزير;свинья;শূকর;豚
pin;pin;alfiler;alfinete;épingler;别针;biézhēn;别针;bitzām;पिन;دبوس;штырь;পিন;ピン
pink;pink;rosado;rosa;rose;粉红色;fěnhóngsè;粉红色;fánhùngsīk;गुलाबी;زهري;розоватый;গোলাপী;がかりました
pipe;pipe;tubo;tubo;tuyau;NA;na;NA;NA;NA;أنْبوب;трубка;নল;NA
plane;plane;avión;avião;avion;飞机;fēijī;飞机;fēigēi;विमान;طائرة;самолет;সমতল;飛行機
plant;plant;planta;planta;plante;植物;zhíwù;植物;zikmat;पौधा;مصنع;растение;উদ্ভিদ;工場
plastic;plastic;plástico;plástico;plastique;塑料;sùliào;塑料;sôulíu;प्लास्टिक;بلاستيك;пластик;প্লাস্টিক;プラスチック
plate;plate;plato;prato;plat;盘子;pánzi;盘子;pùnzí;प्लेट;لوحة;пластина;প্লেট;プレート
play;play;jugar;brincar;jouer;玩;wán;玩;wun;खेल;لعب;играть;খেলা;演奏する
