word;image;image_html;english;spanish;portuguese;french;french_audio;french_audio_html;chinese_simplified;chinese_pinyin;chinese_jyutping;hindi;arabic;russian;bengali;japanese
cow;vocab-cow.jpg;"<img src=""vocab-cow.jpg"">";cow;vaca;vaca;vache;vocab-french-vache.mp3;[sound:vocab-french-vache.mp3];奶牛;nǎiniú;nǎaingàu;गाय;بقرة;корова;গাভী;牛
crowd;vocab-crowd.jpg;"<img src=""vocab-crowd.jpg"">";crowd;multitud;multidão;foule;vocab-french-foule.mp3;[sound:vocab-french-foule.mp3];人群;rénqún;jànkwàn;भीड़;يحشد;толпа;ভিড়;群集
cry;vocab-cry.jpg;"<img src=""vocab-cry.jpg"">";cry;llorar;chorar;pleurer;vocab-french-pleurer.mp3;[sound:vocab-french-pleurer.mp3];哭;kū;hūk;रोना;بكاء;плакать;কান্না;泣く
cup;vocab-cup.jpg;"<img src=""vocab-cup.jpg"">";cup;taza;xícara;tasse;vocab-french-tasse.mp3;[sound:vocab-french-tasse.mp3];杯子;bēizi;būizí;कप;كوب;чашка;কাপ;カップ
curved;vocab-curved.jpg;"<img src=""vocab-curved.jpg"">";curved;curvo;curvado;incurvé;vocab-french-incurvé.mp3;[sound:vocab-french-incurvé.mp3];弯曲;wānqū;wāankūk;वक्र;منحن;изогнутый;বাঁকা;曲がりました
cut;vocab-cut.jpg;"<img src=""vocab-cut.jpg"">";cut;cortar;cortar;couper;vocab-french-couper.mp3;[sound:vocab-french-couper.mp3];切;qiē;cît;कट गया;يقطع;резать;কাটা;切る
dance;vocab-dance.jpg;"<img src=""vocab-dance.jpg"">";dance;bailar;dançar;danser;vocab-french-danser.mp3;[sound:vocab-french-danser.mp3];跳舞;tiàowǔ;tîumǒu;नृत्य करने के लिए;للرقص;танцевать;নাচতে;踊る
dark;vocab-dark.jpg;"<img src=""vocab-dark.jpg"">";dark;oscuro;escuro;sombre;vocab-french-sombre.mp3;[sound:vocab-french-sombre.mp3];黑暗的;hēiàn de;hākâm dīk;अंधेरा;داكن;тьма;অন্ধকার;闇
date;vocab-date.jpg;"<img src=""vocab-date.jpg"">";date;fecha;encontro;date;vocab-french-date.mp3;[sound:vocab-french-date.mp3];日期;rìqī;jatkèi;तारीख;تاريخ;дата;তারিখ;日付
daughter;vocab-daughter.jpg;"<img src=""vocab-daughter.jpg"">";daughter;hija;filha;fille;vocab-french-fille.mp3;[sound:vocab-french-fille.mp3];女儿;nǚér;něoijì;बेटी;بنت;дочь;কন্যা;娘
day;vocab-day.jpg;"<img src=""vocab-day.jpg"">";day;día;dia;journée;vocab-french-journée.mp3;[sound:vocab-french-journée.mp3];天;tiān;tīn;दिन;يوم;день;দিন;日
dead;vocab-dead.jpg;"<img src=""vocab-dead.jpg"">";dead;muerto;morto;morte;vocab-french-morte.mp3;[sound:vocab-french-morte.mp3];死的;sǐ de;séi dīk;मरे हुए;في ذمة الله تعالى;мертвых;মৃত;デッド
deaf;vocab-deaf.jpg;"<img src=""vocab-deaf.jpg"">";deaf;sordo;surdo;sourd;vocab-french-sourd.mp3;[sound:vocab-french-sourd.mp3];聋;lóng;lùng;बहरा;اطرش;глухой;বধির;耳の不自由な
death;vocab-death.jpg;"<img src=""vocab-death.jpg"">";death;muerte;morte;mort;vocab-french-mort.mp3;[sound:vocab-french-mort.mp3];死亡;sǐwáng;séimòng;मौत;الموت;смерть;মরণ;死
December;vocab-December.jpg;"<img src=""vocab-December.jpg"">";December;diciembre;dezembro;décembre;vocab-french-décembre.mp3;[sound:vocab-french-décembre.mp3];十二月;shíèryuè;sapjijyut;दिसंबर;ديسمبر;декабрь;ডিসেম্বর;12月
deep;vocab-deep.jpg;"<img src=""vocab-deep.jpg"">";deep;profundo;profundo;profond;vocab-french-profond.mp3;[sound:vocab-french-profond.mp3];深的;shēn de;sām dīk;गहरा;عميق;глубокий;গভীর;深い
diamond;vocab-diamond.jpg;"<img src=""vocab-diamond.jpg"">";diamond;diamante;diamante;diamant;vocab-french-diamant.mp3;[sound:vocab-french-diamant.mp3];钻石;zuànshí;zyûnsek;हीरा;الماس;ромб;হীরা;ダイヤモンド
die;vocab-die.jpg;"<img src=""vocab-die.jpg"">";die;morir;morrer;mourir;vocab-french-mourir.mp3;[sound:vocab-french-mourir.mp3];去死;qù sǐ;hêoi séi;मृत्यु को प्राप्त होना;حتى الموت;умереть;মরতে;死ぬ
difficult;vocab-difficult.jpg;"<img src=""vocab-difficult.jpg"">";difficult;difícil;difícil;difficile;vocab-french-difficile.mp3;[sound:vocab-french-difficile.mp3];难的;nán de;nàan dīk;कठिन;صعبة;трудно;কঠিন;難しいです
dig;vocab-dig.jpg;"<img src=""vocab-dig.jpg"">";dig;cavar;cavar;creuser;vocab-french-creuser.mp3;[sound:vocab-french-creuser.mp3];挖;wā;wâat;गड्ढा करना;حفر;копать землю;খনন করা;掘る
dinner;vocab-dinner.jpg;"<img src=""vocab-dinner.jpg"">";dinner;cena;jantar;dîner;vocab-french-dîner.mp3;[sound:vocab-french-dîner.mp3];晚餐;wǎncān;mǎancāan;रात का खाना;وجبة عشاء;ужин;ডিনার;晩ごはん
direction;vocab-direction.jpg;"<img src=""vocab-direction.jpg"">";direction;dirección;direção;direction;vocab-french-direction.mp3;[sound:vocab-french-direction.mp3];方向;fāngxiàng;fōnghôeng;दिशा;اتجاه;направление;অভিমুখ;方向
dirty;vocab-dirty.jpg;"<img src=""vocab-dirty.jpg"">";dirty;sucio;sujo;sale;vocab-french-sale.mp3;[sound:vocab-french-sale.mp3];肮脏的;āngzāng de;ōngzōng dīk;गंदा;قذر;грязный;মলিন;汚れた
disease;vocab-disease.jpg;"<img src=""vocab-disease.jpg"">";disease;enfermedad;doença;maladie;vocab-french-maladie.mp3;[sound:vocab-french-maladie.mp3];疾病;jíbìng;zatbeng;रोग;مرض;болезнь;রোগ;疾患
doctor;vocab-doctor.jpg;"<img src=""vocab-doctor.jpg"">";doctor;doctor;doutora;docteur;vocab-french-docteur.mp3;[sound:vocab-french-docteur.mp3];医生;yīshēng;jīsāng;चिकित्सक;طبيب;врач;ডাক্তার;医師
dog;vocab-dog.jpg;"<img src=""vocab-dog.jpg"">";dog;perro;cachorro;chien;vocab-french-chien.mp3;[sound:vocab-french-chien.mp3];狗;gǒu;gáu;कुत्ता;كلب;собака;কুকুর;犬
dollar;vocab-dollar.jpg;"<img src=""vocab-dollar.jpg"">";dollar;dólar;dólar;dollar;vocab-french-dollar.mp3;[sound:vocab-french-dollar.mp3];美元;měiyuán;měijyùn;डॉलर;دولار;доллар;ডলার;ドル
door;vocab-door.jpg;"<img src=""vocab-door.jpg"">";door;puerta;porta;porte;vocab-french-porte.mp3;[sound:vocab-french-porte.mp3];门;mén;mùn;द्वार;باب;дверь;দরজা;ドア
dot;vocab-dot.jpg;"<img src=""vocab-dot.jpg"">";dot;punto;ponto;point;vocab-french-point.mp3;[sound:vocab-french-point.mp3];点;diǎn;dím;दूरसंचार विभाग;نقطة;точка;বিন্দু;点
down;vocab-down.jpg;"<img src=""vocab-down.jpg"">";down;abajo;baixa;dessous;vocab-french-dessous.mp3;[sound:vocab-french-dessous.mp3];下;xià;haa;नीचे;أسفل;вниз;নিচে;ダウン
draw;vocab-draw.jpg;"<img src=""vocab-draw.jpg"">";draw;dibujar;desenhar;dessiner;vocab-french-dessiner.mp3;[sound:vocab-french-dessiner.mp3];画;huà;waak;खींचना;رسم;рисовать;আঁকা;ドロー
dream;vocab-dream.jpg;"<img src=""vocab-dream.jpg"">";dream;sueño;sonhe;rêver;vocab-french-rêver.mp3;[sound:vocab-french-rêver.mp3];梦;mèng;mung;सपना है;حلم;мечтать;স্বপ্ন;夢
dress;vocab-dress.jpg;"<img src=""vocab-dress.jpg"">";dress;vestido;vestido;robe;vocab-french-robe.mp3;[sound:vocab-french-robe.mp3];裙子;qúnzi;kwànzí;परिधान;فستان;платье;পোশাক;ドレス
drink;vocab-drink.jpg;"<img src=""vocab-drink.jpg"">";drink;beber;beber;boire;vocab-french-boire.mp3;[sound:vocab-french-boire.mp3];喝;hē;hôt;पीने के लिए;ليشرب;пить;পান করতে;飲む
drive;vocab-drive.jpg;"<img src=""vocab-drive.jpg"">";drive;manejar;conduzir;conduire;vocab-french-conduire.mp3;[sound:vocab-french-conduire.mp3];驾车;jiàchē;gâacē;चलाना;قيادة;водить машину;ড্রাইভ;ドライブ
drug;vocab-drug.jpg;"<img src=""vocab-drug.jpg"">";drug;droga;medicamento;drogue;vocab-french-drogue.mp3;[sound:vocab-french-drogue.mp3];药品;yàopǐn;joekbán;दवाई;المخدرات;препарат, средство, медикамент;ড্রাগ;ドラッグ
dry;vocab-dry.jpg;"<img src=""vocab-dry.jpg"">";dry;seco;seco;sécher;vocab-french-sécher.mp3;[sound:vocab-french-sécher.mp3];干燥;gānzào;gōncôu;सूखी;جاف;сухой;শুষ্ক;ドライ
dust;vocab-dust.jpg;"<img src=""vocab-dust.jpg"">";dust;polvo;pó;poussière;vocab-french-poussière.mp3;[sound:vocab-french-poussière.mp3];灰尘;huīchén;fūicàn;धूल;تراب;пыль;ধূলিকণা;ほこり
ear;vocab-ear.jpg;"<img src=""vocab-ear.jpg"">";ear;oreja;orelha;oreille;vocab-french-oreille.mp3;[sound:vocab-french-oreille.mp3];耳朵;ěrduo;jǐdó;कान;أذن;ухо;কান;耳
Earth;vocab-Earth.jpg;"<img src=""vocab-Earth.jpg"">";Earth;tierra;terra;terre;vocab-french-terre.mp3;[sound:vocab-french-terre.mp3];地球;dìqiú;deikàu;धरती;أرض;земной шар;পৃথিবী;地球
east;vocab-east.jpg;"<img src=""vocab-east.jpg"">";east;este;leste;est;vocab-french-est.mp3;[sound:vocab-french-est.mp3];东方;dōngfāng;dūngfōng;पूर्व;شرق;восток;পূর্ব;東
easy;vocab-easy.jpg;"<img src=""vocab-easy.jpg"">";easy;fácil;fácil;facile;vocab-french-facile.mp3;[sound:vocab-french-facile.mp3];简单;jiǎndān;gáandāan;आसान;سهل;легко;সহজ;イージー
eat;vocab-eat.jpg;"<img src=""vocab-eat.jpg"">";eat;comer;comer;manger;vocab-french-manger.mp3;[sound:vocab-french-manger.mp3];吃;chī;hêk;खा;تأكل;есть;খাওয়া;食べる
edge;vocab-edge.jpg;"<img src=""vocab-edge.jpg"">";edge;borde;beira;bord;vocab-french-bord.mp3;[sound:vocab-french-bord.mp3];边缘;biānyuán;bīnjyùn;एज;حافة;край;প্রান্ত;縁
egg;vocab-egg.jpg;"<img src=""vocab-egg.jpg"">";egg;huevo;ovo;œuf;vocab-french-œuf.mp3;[sound:vocab-french-œuf.mp3];蛋;dàn;dáan;अंडा;بيضة;яйцо;ডিম;卵
eight;vocab-eight.jpg;"<img src=""vocab-eight.jpg"">";eight;ocho;oito;huit;vocab-french-huit.mp3;[sound:vocab-french-huit.mp3];八;bā;bâat;आठ;ثمانية;восемь;আট;8
eighteen;vocab-eighteen.jpg;"<img src=""vocab-eighteen.jpg"">";eighteen;dieciocho;dezoito;dix-huit;vocab-french-dix-huit.mp3;[sound:vocab-french-dix-huit.mp3];十八;shíbā;sapbâat;अठारह;الثامنة عشر;восемна́дцать;আঠার;18
eighty;vocab-eighty.jpg;"<img src=""vocab-eighty.jpg"">";eighty;ochenta;oitenta;quatre-vingts;vocab-french-quatre-vingts.mp3;[sound:vocab-french-quatre-vingts.mp3];八十;bāshí;bâatsap;अस्सी;ثمانون;восемьдесят;আশি;80
election;vocab-election.jpg;"<img src=""vocab-election.jpg"">";election;elección;eleição;élection;vocab-french-élection.mp3;[sound:vocab-french-élection.mp3];选举;xuǎnjǔ;syúngéoi;चुनाव;انتخاب;выборы;নির্বাচন;選挙
electronics;vocab-electronics.jpg;"<img src=""vocab-electronics.jpg"">";electronics;electrónica;eletrônicos;électronique;vocab-french-électronique.mp3;[sound:vocab-french-électronique.mp3];电子产品;diànzǐchǎnpǐn;dinzícáanbán;इलेक्ट्रानिक्स;إلكترونيات;электроника;ইলেকট্রনিক্স;エレクトロニクス
eleven;vocab-eleven.jpg;"<img src=""vocab-eleven.jpg"">";eleven;once;onze;onze;vocab-french-onze.mp3;[sound:vocab-french-onze.mp3];十一;shíyī;sapjāt;ग्यारह;أحد عشر;оди́ннадцать;এগার;十一
energy;vocab-energy.jpg;"<img src=""vocab-energy.jpg"">";energy;energía;energia;énergie;vocab-french-énergie.mp3;[sound:vocab-french-énergie.mp3];活力;huólì;wutlik;ऊर्जा;طاقة;энергия;শক্তি;エネルギー
engine;vocab-engine.jpg;"<img src=""vocab-engine.jpg"">";engine;motor;motor;moteur;vocab-french-moteur.mp3;[sound:vocab-french-moteur.mp3];引擎;yǐnqíng;jǎnkìng;यन्त्र;محرك;двигатель;ইঞ্জিন;エンジン
escape;vocab-escape.jpg;"<img src=""vocab-escape.jpg"">";escape;escapar;escapar;s'échapper;vocab-french-s'échapper.mp3;[sound:vocab-french-s'échapper.mp3];逃脱;táotuō;tòutyût;पलायन;يهرب;побег;অব্যাহতি;逃れる
evening;vocab-evening.jpg;"<img src=""vocab-evening.jpg"">";evening;noche;noite;soir;vocab-french-soir.mp3;[sound:vocab-french-soir.mp3];夜晚;yèwǎn;jemǎan;रात;ليل;ночь;রাত;夜
exercise;vocab-exercise.jpg;"<img src=""vocab-exercise.jpg"">";exercise;ejercicio;exercício;exercer;vocab-french-exercer.mp3;[sound:vocab-french-exercer.mp3];锻炼;duànliàn;dyûnlin;व्यायाम;ممارسه الرياضه;упражнение;ব্যায়াম;運動
expensive;vocab-expensive.jpg;"<img src=""vocab-expensive.jpg"">";expensive;costoso;caro;coûteux;vocab-french-coûteux.mp3;[sound:vocab-french-coûteux.mp3];昂贵的;ángguì de;ngònggwâi dīk;महंगा;غالي;дорогой;ব্যয়বহুল;高価な
explode;vocab-explode.jpg;"<img src=""vocab-explode.jpg"">";explode;explotar;explodir;exploser;vocab-french-exploser.mp3;[sound:vocab-french-exploser.mp3];爆炸;bàozhà;bâauzâa;विस्फोट;ينفجر;взорваться;বিস্ফোরিত করা;爆発します
eye;vocab-eye.jpg;"<img src=""vocab-eye.jpg"">";eye;ojo;olho;œil;vocab-french-œil.mp3;[sound:vocab-french-œil.mp3];眼睛;yǎnjīng;ngǎanzīng;आंख;عين;глаз;চোখ;眼
face;vocab-face.jpg;"<img src=""vocab-face.jpg"">";face;cara;cara;visage;vocab-french-visage.mp3;[sound:vocab-french-visage.mp3];脸;liǎn;lǐm;चेहरा;وجه;лицо;মুখ;顔
fall (season);vocab-fall (season).jpg;"<img src=""vocab-fall (season).jpg"">";fall;otoño;outono;automne;vocab-french-automne.mp3;[sound:vocab-french-automne.mp3];秋;qiū;cāu;गिरना;خريف;осень;পড়া;秋
fall (verb);vocab-fall (verb).jpg;"<img src=""vocab-fall (verb).jpg"">";fall;caer;cair;tomber;vocab-french-tomber.mp3;[sound:vocab-french-tomber.mp3];掉下;diào xià;diu haa;गिरने के लिये;ليقع او يسقط;падать;পড়া;落ちる
family;vocab-family.jpg;"<img src=""vocab-family.jpg"">";family;familia;família;famille;vocab-french-famille.mp3;[sound:vocab-french-famille.mp3];家庭;jiātíng;gāatìng;परिवार;الأسرة;семья;পরিবার;家族
famous;vocab-famous.jpg;"<img src=""vocab-famous.jpg"">";famous;famoso;famoso;célèbre;vocab-french-célèbre.mp3;[sound:vocab-french-célèbre.mp3];著名的;zhùmíng de;zyûmìng dīk;ख्याति प्राप्त;مشهور;известный;বিখ্যাত;名高いです
fan (device);vocab-fan (device).jpg;"<img src=""vocab-fan (device).jpg"">";fan;ventilador;fã;ventilateur;vocab-french-ventilateur.mp3;[sound:vocab-french-ventilateur.mp3];扇子;shànzi;sînzí;पंखा;المعجب;поклонник;পাখা;ファン
fan (person);vocab-fan (person).jpg;"<img src=""vocab-fan (person).jpg"">";fan;fan;fã;fan;vocab-french-fan.mp3;[sound:vocab-french-fan.mp3];扇子;shànzi;sînzí;पंखा;المعجب;поклонник;পাখা;ファン
far;vocab-far.jpg;"<img src=""vocab-far.jpg"">";far;lejos;longe;loin;vocab-french-loin.mp3;[sound:vocab-french-loin.mp3];远的;yuǎn de;jyǔn dīk;दूर;بعيد;далеко;এ পর্যন্ত;遥か
farm;vocab-farm.jpg;"<img src=""vocab-farm.jpg"">";farm;granja;fazenda;cultiver;vocab-french-cultiver.mp3;[sound:vocab-french-cultiver.mp3];农场;nóngchǎng;nùngcòeng;खेत;مزرعة;ферма;খামার;ファーム
fast;vocab-fast.jpg;"<img src=""vocab-fast.jpg"">";fast;rápido;rápido;rapide;vocab-french-rapide.mp3;[sound:vocab-french-rapide.mp3];快的;kuài de;fâai dīk;तेज;سريع;быстрый;দ্রুত;速いです
father;vocab-father.jpg;"<img src=""vocab-father.jpg"">";father;padre;pai;père;vocab-french-père.mp3;[sound:vocab-french-père.mp3];爸爸;bàba;bāabāa;पिता;بابا;папа;বাবা;パパ
February;vocab-February.jpg;"<img src=""vocab-February.jpg"">";February;febrero;fevereiro;février;vocab-french-février.mp3;[sound:vocab-french-février.mp3];二月;èryuè;jijyut;फ़रवरी;شهر فبراير;февраль;ফেব্রুয়ারি;2月
feed;vocab-feed.jpg;"<img src=""vocab-feed.jpg"">";feed;alimentar;alimentação;nourrir;vocab-french-nourrir.mp3;[sound:vocab-french-nourrir.mp3];喂养;wèiyǎng;wâijǒeng;चारा;تغذية;подача;ভোজন;フィード
female;vocab-female.jpg;"<img src=""vocab-female.jpg"">";female;hembra;fêmea;femme;vocab-french-femme.mp3;[sound:vocab-french-femme.mp3];女性;nǚxìng;něoisîng;महिला;أنثى;женский;মহিলা;女性
fifteen;vocab-fifteen.jpg;"<img src=""vocab-fifteen.jpg"">";fifteen;quince;quinze;quinze;vocab-french-quinze.mp3;[sound:vocab-french-quinze.mp3];十五;shíwǔ;sapng;पंद्रह;خمسة عشر;пятнадцать;পনের;15
fifth;vocab-fifth.jpg;"<img src=""vocab-fifth.jpg"">";fifth;quinto;quinto;cinquième;vocab-french-cinquième.mp3;[sound:vocab-french-cinquième.mp3];第五;dìwǔ;daing;पांचवां;خامس;пятый;পঞ্চম;第五の
fifty;vocab-fifty.jpg;"<img src=""vocab-fifty.jpg"">";fifty;cincuenta;cinquenta;cinquante;vocab-french-cinquante.mp3;[sound:vocab-french-cinquante.mp3];五十;wǔshí;ngsap;पचास;خمسون;пятьдеся́т;পঞ্চাশ;五十
fight;vocab-fight.jpg;"<img src=""vocab-fight.jpg"">";fight;lucha;lutar;combattre;vocab-french-combattre.mp3;[sound:vocab-french-combattre.mp3];斗争;dòuzhēng;dâuzāng;लड़ने के लिए;ليقاتل;борьба;যুদ্ধ;戦うために
find;vocab-find.jpg;"<img src=""vocab-find.jpg"">";find;encontrar;achar;trouver;vocab-french-trouver.mp3;[sound:vocab-french-trouver.mp3];找;zhǎo;záau;खोज;تجد;найти;অনুসন্ধান;見つけます
finger;vocab-finger.jpg;"<img src=""vocab-finger.jpg"">";finger;dedo;dedo;doigt;vocab-french-doigt.mp3;[sound:vocab-french-doigt.mp3];手指;shǒuzhǐ;sáuzí;उंगली;اصبع اليد;палец;আঙ্গুল;指
fire;vocab-fire.jpg;"<img src=""vocab-fire.jpg"">";fire;fuego;fogo;feu;vocab-french-feu.mp3;[sound:vocab-french-feu.mp3];火;huǒ;fó;आग;إطلاق النار;огонь;আগুন;火
first;vocab-first.jpg;"<img src=""vocab-first.jpg"">";first;primero;primeiro;première;vocab-french-première.mp3;[sound:vocab-french-première.mp3];第一的;dìyī de;daijāt dīk;प्रथम;أول;первый;প্রথম;最初
fish;vocab-fish.jpg;"<img src=""vocab-fish.jpg"">";fish;pescado;peixe;poisson;vocab-french-poisson.mp3;[sound:vocab-french-poisson.mp3];鱼;yú;jyú;मछली;سمك;рыбы;মাছ;魚
five;vocab-five.jpg;"<img src=""vocab-five.jpg"">";five;cinco;cinco;cinq;vocab-french-cinq.mp3;[sound:vocab-french-cinq.mp3];五;wǔ;ng;पंज;خمسة;пять;পাঁচ;五
flat;vocab-flat.jpg;"<img src=""vocab-flat.jpg"">";flat;plano;plano;plat;vocab-french-plat.mp3;[sound:vocab-french-plat.mp3];平坦的;píngtǎn de;pìngtáan dīk;समतल;عريضة;плоский;সমান;平らな
floor;vocab-floor.jpg;"<img src=""vocab-floor.jpg"">";floor;suelo;piso;sol;vocab-french-sol.mp3;[sound:vocab-french-sol.mp3];地面;dìmiàn;deimin;मंज़िल;أرضية;пол;মেঝে;床
flower;vocab-flower.jpg;"<img src=""vocab-flower.jpg"">";flower;flor;flor;fleur;vocab-french-fleur.mp3;[sound:vocab-french-fleur.mp3];花;huā;fāa;फूल;زهرة;цветок;ফুল;花
fly;vocab-fly.jpg;"<img src=""vocab-fly.jpg"">";fly;mosca;mosca;mouche;vocab-french-mouche.mp3;[sound:vocab-french-mouche.mp3];飞;fēi;fēi;उड़ना;يطير;летать;মাছি;飛ぶ
follow;vocab-follow.jpg;"<img src=""vocab-follow.jpg"">";follow;seguir;seguir;suivre;vocab-french-suivre.mp3;[sound:vocab-french-suivre.mp3];跟随;gēnsuí;gāncèoi;अनुसरण करने के लिए;للمتابعة;следовать;অনুসরণ করা;フォローする
food;vocab-food.jpg;"<img src=""vocab-food.jpg"">";food;comida;comida;aliments;vocab-french-aliments.mp3;[sound:vocab-french-aliments.mp3];食物;shíwù;sikmat;खाना;غذاء;еда;খাদ্য;食物
foot;vocab-foot.jpg;"<img src=""vocab-foot.jpg"">";foot;pie;pé;pied;vocab-french-pied.mp3;[sound:vocab-french-pied.mp3];脚;jiǎo;gôek;पैर;قدم;оплачивать;পা;足
forest;vocab-forest.jpg;"<img src=""vocab-forest.jpg"">";forest;bosque;floresta;forêt;vocab-french-forêt.mp3;[sound:vocab-french-forêt.mp3];森林;sēnlín;sāmlàm;जंगल;غابة;лес;বন। জংগল;森林
fork;vocab-fork.jpg;"<img src=""vocab-fork.jpg"">";fork;tenedor;forquilha;fourchette;vocab-french-fourchette.mp3;[sound:vocab-french-fourchette.mp3];叉;chā;cāa;कांटा;شوكة;вилка;কাঁটাচামচ;フォーク
forty;vocab-forty.jpg;"<img src=""vocab-forty.jpg"">";forty;cuarenta;quarenta;quarante;vocab-french-quarante.mp3;[sound:vocab-french-quarante.mp3];四十;sìshí;sêisap;चालीस;أربعين;сорок;চল্লিশ;四十
four;vocab-four.jpg;"<img src=""vocab-four.jpg"">";four;cuatro;quatro;quatre;vocab-french-quatre.mp3;[sound:vocab-french-quatre.mp3];四;sì;sêi;चार;أربعة;четыре;চার;四
fourteen;vocab-fourteen.jpg;"<img src=""vocab-fourteen.jpg"">";fourteen;catorce;quatorze;quatorze;vocab-french-quatorze.mp3;[sound:vocab-french-quatorze.mp3];十四;shísì;sapsêi;चौदह;أربعة عشرة;четы́рнадцать;চতুর্দশ;十四
fourth;vocab-fourth.jpg;"<img src=""vocab-fourth.jpg"">";fourth;cuarto;quarto;quatrième;vocab-french-quatrième.mp3;[sound:vocab-french-quatrième.mp3];卧室;wòshì;ngosāt;शयनकक्ष;غرفة نوم;спальня;শয়নকক্ষ;ベッドルーム
free;vocab-free.jpg;"<img src=""vocab-free.jpg"">";free;libre;livre;libre;vocab-french-libre.mp3;[sound:vocab-french-libre.mp3];自由;zìyóu;zijàu;नि: शुल्क;مجانا;свободный;বিনামূল্যে;自由
Friday;vocab-Friday.jpg;"<img src=""vocab-Friday.jpg"">";Friday;viernes;sexta-feira;vendredi;vocab-french-vendredi.mp3;[sound:vocab-french-vendredi.mp3];星期五;xīngqīwǔ;sīngkèing;शुक्रवार;جمعة;пятница;শুক্রবার;金曜日
friend;vocab-friend.jpg;"<img src=""vocab-friend.jpg"">";friend;amigo;amigo;ami;vocab-french-ami.mp3;[sound:vocab-french-ami.mp3];朋友;péngyou;pàngjǎu;मित्र;صديق;друг;বন্ধু;友人
front;vocab-front.jpg;"<img src=""vocab-front.jpg"">";front;frente;frente;devant;vocab-french-devant.mp3;[sound:vocab-french-devant.mp3];正面;zhèngmiàn;zîngmin;सामने;أمامي;передний;সদর;フロント
funny;vocab-funny.jpg;"<img src=""vocab-funny.jpg"">";funny;divertido;engraçado;drôle;vocab-french-drôle.mp3;[sound:vocab-french-drôle.mp3];有趣的;yǒuqù de;jǎucêoi dīk;मजेदार;مضحك;забавный;হাস্যকর;おもしろいです
game;vocab-game.jpg;"<img src=""vocab-game.jpg"">";game;juego;jogos;jeu;vocab-french-jeu.mp3;[sound:vocab-french-jeu.mp3];游戏;yóuxì;jàuhêi;खेल;لعبه;игра;খেলা;ゲーム
garden;vocab-garden.jpg;"<img src=""vocab-garden.jpg"">";garden;jardín;jardim;jardin;vocab-french-jardin.mp3;[sound:vocab-french-jardin.mp3];花园;huāyuán;fāajyùn;बगीचा;حديقة;сад;বাগান;庭園
gasoline;vocab-gasoline.jpg;"<img src=""vocab-gasoline.jpg"">";gasoline;gasolina;gasolina;essence;vocab-french-essence.mp3;[sound:vocab-french-essence.mp3];汽油;qìyóu;hêijàu;पेट्रोल;الغازولين;бензин;পেট্রল;ガソリン
gift;vocab-gift.jpg;"<img src=""vocab-gift.jpg"">";gift;regalo;presente;cadeau;vocab-french-cadeau.mp3;[sound:vocab-french-cadeau.mp3];礼物;lǐwù;lǎimat;उपहार;هدية مجانية;подарок;উপহার;贈り物
girl;vocab-girl.jpg;"<img src=""vocab-girl.jpg"">";girl;chica;garota;fille;vocab-french-fille.mp3;[sound:vocab-french-fille.mp3];女孩;nǚhái;něoihàai;लड़की;فتاة;девочка;মেয়ে;女の子
give;vocab-give.jpg;"<img src=""vocab-give.jpg"">";give;dar;dar;donner;vocab-french-donner.mp3;[sound:vocab-french-donner.mp3];给;gěi;kāp;देना;يعطى;дайте;দিতে;与える
glass;vocab-glass.jpg;"<img src=""vocab-glass.jpg"">";glass;vaso;copo;verre;vocab-french-verre.mp3;[sound:vocab-french-verre.mp3];玻璃;bōli;bōlēi;कांच;زجاج;стекло;কাচ;ガラス
go;vocab-go.jpg;"<img src=""vocab-go.jpg"">";go;vamos;ir;aller;vocab-french-aller.mp3;[sound:vocab-french-aller.mp3];离开;líkāi;lèihōi;चल देना;توجو;идти;যাও;トーゴ
God;vocab-God.jpg;"<img src=""vocab-God.jpg"">";God;dios;deus;dieu;vocab-french-dieu.mp3;[sound:vocab-french-dieu.mp3];上帝;shàngdì;soengdâi;परमेश्वर;إله;бог;সৃষ্টিকর্তা;神
gold;vocab-gold.jpg;"<img src=""vocab-gold.jpg"">";gold;oro;ouro;or;vocab-french-or.mp3;[sound:vocab-french-or.mp3];金子;jīnzi;gāmzí;सोना;ذهب;золото;স্বর্ণ;ゴールド
good;vocab-good.jpg;"<img src=""vocab-good.jpg"">";good;bueno;bom;bon;vocab-french-bon.mp3;[sound:vocab-french-bon.mp3];好的;hào de;hôu dīk;अच्छा न;جيد;хороший;ভাল;良い
government;vocab-government.jpg;"<img src=""vocab-government.jpg"">";government;gobierno;governo;gouvernement;vocab-french-gouvernement.mp3;[sound:vocab-french-gouvernement.mp3];政府;zhèngfǔ;zîngfú;सरकार;حكومة;правительство;সরকার;政府
grandfather;vocab-grandfather.jpg;"<img src=""vocab-grandfather.jpg"">";grandfather;abuelo;avô;grand-père;vocab-french-grand-père.mp3;[sound:vocab-french-grand-père.mp3];爷爷;yéye;jèjé;दादा;جد;дедушка;পিতামহ;祖父
grandmother;vocab-grandmother.jpg;"<img src=""vocab-grandmother.jpg"">";grandmother;abuela;avó;grand-mère;vocab-french-grand-mère.mp3;[sound:vocab-french-grand-mère.mp3];祖母;zǔmǔ;zóumǒu;दादी मा;جدة;бабушка;নানী;祖母
grass;vocab-grass.jpg;"<img src=""vocab-grass.jpg"">";grass;césped;relva;gazon;vocab-french-gazon.mp3;[sound:vocab-french-gazon.mp3];草;cǎo;cóu;घास;عشب;трава;ঘাস;草
